wav	band	I_nu	d I_nu
4.618	WISE-2	0.023513492183303585	0.024261495293323374
5.731	IRAC-3	0.045353728067306864	0.09697192846456384
8.0	IRAC-4	0.09945817791812406	0.053672136824756723
8.28	MSX-A	0.13744478086944098	0.1149815628881476
12.082	WISE-3	0.06159897425844962	0.058678185274854064
12.13	MSX-C	-0.00396024862356471	0.8695549262326461
14.65	MSX-D	-1.8066612194053844	1.777983924857006
21.34	MSX-E	-0.38523585391427423	3.811450552642958
22.194	WISE-4	0.12028722378729208	0.4846840529748289
23.68	MIPS-1	0.10189763105029925	0.4346002588429316
65.0	AKARI-N60	1.7129577190737493	2.720662204468503
70.0	PACS-B	1.2122633070703488	3.377231535130668
71.42	MIPS-2	0.6691999345594724	2.9304134885443567
90.0	AKARI-WideS	1.859326790891842	2.5115792228406257
140.0	AKARI-WideL	27.13195818417755	16.30047644046919
150.0	PACS-R	12.854280141152381	3.2989908064291584
155.9	MIPS-3	8.302050095084581	3.12669387012542
250.0	SPIRE-250	10.354960404427654	2.2012610407766737
350.0	SPIRE-350	5.798754688023181	1.287461329712632
500.0	SPIRE-500	2.3386668766379977	0.5526531461263227
